"" "W070517001156" "W070517001157" "W070517001159" "W070517001160" "W070517001161" "W070517001162" "W070517102034" "W070517102035" "W070517102036" "W070517102037" "W070517102038" "W070517102051"
"ARL4D" 0.107496 0.0943685 0.0606893 0.0555062 0.0121281 0.0896801 0.103015 0.113625 0.136268 0.222628 0.200704 0.116132
"ARNT" 67.782814 40.528711 40.5520882 60.5595234 34.4528371 35.3695321 40.252084 46.973462 39.6318374 42.7432247 56.6452366 41.596381
"ARRB1" 82.73447 53.768117 55.621761 65.907803 58.14812 45.765398 37.051236 44.8413067 38.2403625 40.3236995 44.3997511 73.559303
"ARRDC4" 5.82987 1.38135 3.56108 2.61381 2.04402 2.14283 2.79749 2.20598 2.38847 3.53238 2.39869 3.39074
"ARRDC5" 4.6569 7.72342 3.09978 5.54384 5.00418 4.72216 5.48705 6.97267 4.41112 7.45998 5.8598 4.2888
"ARV1" 2.955253 2.49468 2.238828 3.267234 2.734997 5.23081 2.665493 3.618104 4.283656 6.595212 3.971636 3.2315617
"ARVCF" 0.17550354 0.3100276 0.442905 0.241929 0.5090725 0.5582456 0.3526242 0.2321142 0.853256 0.510982 0.7836177 0.63598621
"ASB2" 0.962858 0.5240563 0.580428900111982 1.4732174 0.7162008 1.301884 0.9760468 0.2986368 0.957362 0.6294434 0.6370721 1.2172639
"ASCL2" 0.0216247 0 0 0.00868733 0.0509871 0.0362487 0.00690474 0 0.00943433 0 0.00737854 0.0183124
"ASGR1" 3.6340197 2.2853144 2.7361483 2.757005 2.9367495 2.0391245 1.5650956 2.161053 2.5557755 1.3340565 2.1647862 2.8451186
"ASGR2" 11.510425 2.1614334 7.629287 4.2344976 6.027726 3.1451618 4.836051 2.8747237 4.915306 3.977587 4.6540224 5.1703382
"ASTN2" 0.6640828 0.742289 0.32619138 1.558806 0.832769 1.13223 1.1022597 0.9534974 0.7962836 0.998175 0.7418762 0.5635603
"ASXL2" 50.36503 35.89943 35.911897 55.1388 27.52862 30.43261 33.40525 46.16431 31.57864 40.93677 57.06136 44.14748
"ATAD2" 3.411935 3.038007 2.219187 4.3207382789 3.95090330015713 6.968623 7.695327 4.3441976 5.356291441 7.8711693 5.2979559 3.715092
"ATAD3A" 7.4428243 13.883043 7.1272305 15.553905 8.3261622 10.1850335 13.295863 7.2598259 8.6535067 10.9212148 12.7157851 9.1494596
"ATCAY" 0.030355 0.020692 0 0 0.0119331 0.024592 0.0910106 0.0360106 0.0200574 0 0.046484 0.00968488
"ATG2A" 9.759878 13.52613 8.264768 12.791125 7.2786799 6.7509752 4.9979761 11.787027 4.3899689 4.3159699 13.8454811 13.595268
"ATG4C" 8.5998 6.2116090350563 4.20412800243645 9.982848 3.893285 8.8152 8.75219 8.259061 9.656703 10.756532 6.201484 7.925010749
