"" "T cells CD8" "Monocytes" "T cells CD4" "NKT cells" "B cells" "NK cells"
"AFF1" -0.0840598216585177 -0.0341443556895744 -0.0573717364742435 -0.09641978855325 -0.09641978855325 -0.00586198459629028
"AFF3" -0.0908749240903186 -0.0830696602186398 -0.073789314837915 -0.0792282391095683 0.0548146662829205 -0.09641978855325
"AGAP2" -0.0308921088140764 -0.0908152632502892 -0.0787170647723721 -0.0658632790377594 -0.09641978855325 -0.09641978855325
"AGK" -0.0529089497145955 -0.0865736274952301 -0.0580603178097567 -0.0390981927170654 -0.0698095879761534 0.059091857711648
"AGMAT" -0.0849782045377519 -0.0945692341110309 -0.0663646477719419 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AGO4" -0.0202866198555236 0.0326641983242193 -0.0890781960287215 -0.09641978855325 -0.09641978855325 -0.0345980438391425
"AGPAT9" -0.0879863716464234 0.00730189700545141 -0.0903436686594805 -0.09641978855325 -0.0745859061982703 -0.09641978855325
"AHI1" -0.083929950218469 -0.09641978855325 -0.073856938848578 -0.09641978855325 -0.0302118622230015 -0.09641978855325
"AHR" -0.0752160458933045 0.150724507618002 -0.0740097237234 -0.0604260667905112 -0.0804022475295485 -0.0580489978019117
"AHSA2" -0.015406665983091 -0.0615095536743985 -0.0762117206146568 -0.09641978855325 -0.0302943270044448 -0.09641978855325
"AIF1" 0.175632000897095 3.70522220752291 0.309805492961098 0.0429166335224728 0.00403305192385891 0.0561450076698593
"AIM2" -0.0653447834422792 -0.0950794483383292 -0.09641978855325 -0.09641978855325 0.0241128782285109 -0.09641978855325
"AK1" -0.0619661180997977 -0.0891348770740999 -0.0219362545305147 -0.0562083636364849 -0.09641978855325 -0.09641978855325
"AK5" -0.09641978855325 -0.09641978855325 -0.0668657530512289 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AKAP5" -0.0798748411239265 -0.0954306492878353 -0.0897037587602561 -0.09641978855325 -0.09641978855325 -0.0266440259615567
"AKR1C3" -0.09641978855325 -0.0917977908475105 -0.0811916720300307 -0.0819906658961958 -0.0784697367795891 0.254116602625521
"AL590822.1" -0.0916215358674545 -0.0938135561501577 -0.0886288837841487 -0.0734679826790387 -0.09641978855325 -0.0613280170420379
"AL928742.12" -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0228219908512306 -0.09641978855325
"AL928768.3" -0.089590275563801 -0.0929724699923162 -0.0929900795607522 -0.0724494574183606 0.402544110760122 -0.09641978855325
"ALDH1A1" -0.0945869089675921 0.13292557954262 -0.09641978855325 -0.084592876049457 -0.09641978855325 -0.09641978855325
