NAME	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells
APLP1	6.35383599132932	1.7444275872953	3.09890017630762	1	1	1
APLP2	36.116373516022	336.99344236119	27.6897524774129	54.3209029294813	37.2632342641973	37.1519559621647
APMAP	103.340075006208	23.4375252952204	19.4912853512259	129.112932210109	15.9142431021626	200.948461512863
APOBEC3A	5.52608593610614	50.4732824619327	9.20308380016369	1	1	15.9755612261689
APOBEC3D	13.8351852466277	2.00225206037967	4.73570693725167	33.2861726348208	12.8518518518518	44.5849962687605
APOBEC3H	21.8240967439243	2.30080793180644	12.333854955143	43.8392444191665	1	1
APOL2	17.6465087489372	14.531995129452	15.3197740336829	13.989208979105	1	49.7549437611835
AQP3	10.4094940110887	1.59517680619793	86.7563316614166	8.36642823993929	1	1
AQP9	3.98842826894573	77.9550057108568	1	1	1	1
AREG	4.2548370733877	1.34789772363562	1	1	1	20.2199670151863
ARHGAP11B	10.8587794083359	3.03521703527111	4.29776147950771	11.0062539086929	1	1
ARHGAP18	18.6781890686836	21.5912556611677	2.88458784063926	6.92859598989768	1	1
ARHGAP21	2.43224206036614	9.26173351237018	1	8.03700054888605	1	1
ARHGAP24	6.409834239407	45.4848020642968	1	1	263.664585932269	1
ARHGAP29	1	17.2877342918545	5.97983168168916	1	1	1
ARHGEF19	6.12320088188194	2.81291753629354	1	16.9638804884932	1	1
ARHGEF40	3.74281474509452	20.1634586848425	4.82119848069149	1	1	1
ARID3B	8.8656880700041	15.3645775455976	4.27638968068306	23.1875032015685	1	1
ARL11	2.46056534795229	20.2404965010041	1	1	55.4117534751955	12.6872947418861
ARL17A	10.4708995169417	2.47502995388725	1	1	1	11.5669149891689
ARL17B	12.4032993456194	4.37758438738614	3.79248486473203	1	1	1
ARL4D	3.69890964050524	1	1	1	1	12.1088893332445
ARNT	7.75452875371142	25.1825033361871	7.99135012140314	28.4888506378246	1	1
ARRB1	6.39725108212292	42.2676099745539	6.71792744712241	1	1	26.2816694734904
ARRDC4	1	21.9486144914564	3.29755126985658	1	1	1
ARRDC5	18.3858861321268	3.40072340807225	6.43699407026858	15.7283030970791	13.7591706539075	1
ARV1	16.3860227648944	9.37511961639852	8.73675103903764	22.6303411016302	1	1
ARVCF	1	1	1	1	1	12.1088893332445
ASB2	9.23127189720579	1	2.52998776009792	8.65304170142422	1	1
ASCL2	18.469253806743	31.0937088902342	3.31493270490627	183.905623934398	1	88.6142608460572
ASGR1	17.2555218086206	155.009239476972	8.45378652355397	9.27910519431061	1	5.408646237
ASGR2	4.66191006565073	39.9294544014289	1	5.88782442934649	1	1
ASTN2	5.94287363703658	1	4.21657177779922	1	1	1
ASXL2	55.8333161051254	32.9542079854992	35.9839733437788	15.0397313765928	1	16.1171579743008
ATAD2	20.8996883948811	2.36471906543397	6.7252126916515	1	11.1755278555075	11.5669149891689
