NAME	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8
BBS4	1	21.5761316872428	14.1898280046428	1	1	12.5548160473285	40.1389432485323	16.7262376549034
BBS9	1	1	18.9907887161773	8.5312547070342	20.4825436408978	16.1607034566404	1	1
BCAS4	1	1	36.2585041330063	21.3030377268215	21.3252032520325	1	1	32.3848568319281
BCAT1	24.7182576944954	1	1	1	1	42.5717868706025	1	1
BCDIN3D	1	1	1	5.74090930640497	18.1232876712329	1	31.7219662058372	28.491106846559
BCKDHB	1	1	1	1	21.8125208125208	1	1	1
BCKDK	68.5115230258284	37.5617344886841	1	15.2755174875089	45.1333540125086	12.6680668346868	1	1
BCL11A	8.20305829509752	20.5137181438551	1	1	1	22.2327349076568	1	125.978051360113
BCL11B	1	1	152.385383211748	244.568719140321	67.7548341022671	72.3750923185457	1	1
BCL2	4.95820139328689	1	50.6878527111116	42.4986370426477	1	1	32.5556958030925	29.3162904515176
BCL2L2	5.30811649146993	18.495057646215	1	1	1	33.680386437729	27.3157894736842	1
BCL6	13.9414927944337	45.9095972878387	1	1	1	65.3454530973713	1	22.8497791719697
BCL7A	4.24485690181063	1	1	1	1	12.6680668346868	1	92.7609366128719
BCL7C	20.4214936272747	1	77.8674232884875	12.5231947307413	21.8125208125208	1	82.0568205619221	16.1894888736994
BCL9L	1	1	31.1091155627191	31.022133512365	19.3338222352596	1	67.0456265813521	1
BCOR	1	1	1	1	1	1	1	21.6671288297244
BCS1L	1	1	13.6993802702428	1	1	1	1	26.8097819073429
BEND5	1	1	1	1	1	1	1	24.270380074279
BEX2	1	1	26.3539391431569	53.3842665590255	1	1	110.833582300157	50.9696514840628
BEX4	17.5803260188775	26.1610305958132	15.8069177919924	45.1372257300011	1	9.06191551112544	92.4260563790161	57.7107966716156
BEX5	1	1	1	16.4464009885697	18.1232876712329	1	43.0875420875421	1
BHLHE40	8.52355057507122	26.3678335870117	13.6300899262403	1	57.0883749530284	22.1255703904005	122.818072018801	14.9440842222687
BHLHE41	1	1	1	1	1	1	1	20.7595297647048
BIN1	22.7288173963094	1	132.856166552035	186.801774206689	284.644128207689	1	249.792032540669	64.0112695003787
BIRC3	23.1287895552114	16.653861807708	18.551249648975	152.294967464503	15.6507266760431	24.3361336693736	32.5556958030925	433.289799416397
BIVM	1	1	1	12.541055980091	1	1	1	1
BLK	1	1	1	1	1	1	1	132.452600722913
BLNK	5.70013160368491	1	1	1	1	1	1	112.006279785561
BLOC1S5	5.30811649146993	1	1	11.4698815149101	1	1	1	26.1116166788599
BLVRB	359.938810481962	260.864496464802	51.0578084295647	22.8866272707376	63.3147095340447	114.079340261595	1	26.841066491473
BMP2K	9.6236633321835	62.4639767709634	1	1	1	61.3042892498941	1	37.0035926540876
BMPR2	1	1	14.2696390658174	5.74090930640497	1	53.34683441976	40.7298371076679	1
BMS1	9.6236633321835	55.8486515338949	14.493091537133	5.189710072063	1	1	1	1
BOD1L1	38.6375164191729	63.8949152130019	1	1	1	82.3913930074271	71.9059858915767	15.1093474426808
BPHL	1	1	26.9657435517728	1	16.3073720303698	1	1	1
BPNT1	9.8904694167852	1	13.6300899262403	1	17.4430413049198	1	1	39.0012450276798
BRF1	10.0810025426807	20.3708352704169	1	1	1	10.318622334874	40.1389432485323	29.4636402079797
BRF2	1	1	10.9585723390695	1	1	1	1	1
BRI3	237.323585001758	272.071547112597	17.0071712127033	27.8521077721756	38.4365033679724	267.538123436111	1	22.4283879492224
BRPF1	1	1	1	15.7102088849662	25.6159905474596	1	1	1
BST1	126.478346055971	95.1251484313774	1	1	1	54.5960476240911	1	1
BTAF1	10.8794704603833	16.7940456447919	14.2696390658174	22.4168861368169	1	1	1	1
BTBD10	22.3924542979386	57.5557441599908	1	11.1433944495708	1	10.318622334874	1	10.7360555344608
BTG3	1	1	19.9955170579743	13.0893751653682	22.2152070604209	1	1	16.3340500809262
BTK	41.5426493823906	26.1610305958132	1	1	17.4430413049198	46.0061684941469	1	76.8008969789655
BTLA	1	1	1	6.37721137817927	38.9358084837537	1	1	60.3019403577743
BTN2A1	1	1	27.2964131692437	7.9487874365923	33.4231652722121	10.6779188603283	94.8799743367702	21.496479168927
BTRC	1	1	27.3796560092856	1	1	1	1	1
BZRAP1.AS1	1	1	18.1892189218922	20.2961809290816	1	1	64.1985064341171	11.1230968577907
C10ORF68	1	1	15.2207053469852	1	1	1	1	1
C10orf11	24.0737927313653	16.7940456447919	1	1	1	37.6877299620584	1	1
C10orf128	5.70013160368491	1	18.7910617705665	1	67.3680483016151	17.8372844827586	31.7219662058372	29.3976254752504
C11orf30	1	1	1	1	18.1232876712329	1	1	1
C11orf49	4.24485690181063	1	18.1892189218922	12.5580212667591	1	1	1	11.1230968577907
C11orf54	8.9145231499802	33.3157078932376	10.4977585289872	6.40248514316587	1	1	1	1
C11orf68	9.4717045069468	47.4158786378336	1	8.3518600205852	1	1	29.5306704707561	12.7317190487922
